Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W1100X607,W1100X607,607,77400,1140,1140,,,,409,410,,,,31,31.8,15.9,55.1,55.6,,,,75.2,85.7,46,,,,,,3.71,,,31.9,,,16100,32800,28300,457,633,4870,3100,90.4,,,,55800,186000,,111000,624,,,5640,16300,,,,,,,,,,,,,,,,,110,1080,3400,,3810,2690,3100,965,140,76.2
W,W1100X548,W1100X548,548,69700,1130,1130,,,,406,406,,,,27.9,28.6,14.3,50,50.8,,,,70.1,81,44.5,,,,,,4.06,,,35.4,,,14400,29500,25600,455,562,4340,2770,89.9,,,,41600,163000,,110000,558,,,5100,14700,,,,,,,,,,,,,,,,,109,1080,3380,,3780,2670,3070,965,140,76.2
W,W1100X499,W1100X499,499,63500,1120,1120,,,,404,406,,,,26.2,25.4,12.7,45,44.4,,,,65,76.2,44.5,,,,,,4.5,,,38,,,12900,26500,23100,452,499,3870,2460,88.6,,,,31100,144000,,108000,491,,,4560,13200,,,,,,,,,,,,,,,,,108,1070,3350,,3760,2640,3050,965,140,76.2
W,W1100X433,W1100X433,433,55100,1110,1110,,,,401,403,,,,22,22.2,11.1,40.1,39.7,,,,59.9,71.4,41.3,,,,,,5.02,,,45,,,11200,23100,20300,452,433,3360,2160,88.6,,,,21200,124000,,107000,433,,,4060,11500,,,,,,,,,,,,,,,,,107,1070,3330,,3730,2620,3020,965,140,76.2
W,W1100X390,W1100X390,390,49800,1100,1100,,,,401,400,,,,19.9,20.6,11.1,36.1,36.5,,,,55.9,66.7,41.3,,,,,,5.57,,,49.6,,,10000,20800,18200,450,384,2980,1920,88.1,,,,15500,109000,,106000,386,,,3650,10300,,,,,,,,,,,,,,,,,106,1060,3330,,3730,2590,3000,965,140,76.2
W,W1100X343,W1100X343,343,43700,1090,1090,,,,401,400,,,,18,17.5,9.52,31,31.8,,,,51.1,61.9,39.7,,,,,,6.45,,,54.8,,,8660,18000,15900,445,331,2570,1660,87.1,,,,10400,92900,,106000,330,,,3150,8960,,,,,,,,,,,,,,,,,105,1060,3300,,3710,2590,3000,965,140,76.2
W,W1000X976,W1000X976,976,125000,1110,1110,,,,429,429,,,,50,50.8,25.4,89.9,90.5,,,,120,122,55.6,,,,,,2.39,,,17.3,,,23500,50500,42500,434,1190,8880,5570,98,,,,245000,309000,,109000,1050,,,8670,25100,,,,,,,,,,,,,,,,,120,1020,3350,,3780,2640,3070,864,191,76.2
W,W1000X883,W1000X883,883,112000,1090,1090,,,,424,425,,,,45.5,46,23.8,82,82.6,,,,112,114,54,,,,,,2.58,,,19.1,,,21000,45200,38300,432,1050,7880,4950,96.5,,,,185000,268000,,107000,932,,,7850,22500,,,,,,,,,,,,,,,,,118,1010,3300,,3730,2620,3050,864,191,76.2
W,W1000X748,W1000X748,748,95500,1070,1070,,,,417,416,,,,39.1,39.7,20.6,70.1,69.8,,,,100,102,50.8,,,,,,2.98,,,22.3,,,17300,38000,32400,427,849,6460,4080,94.5,,,,115000,212000,,104000,762,,,6600,18800,,,,,,,,,,,,,,,,,114,998,3280,,3680,2570,2970,864,191,76.2
W,W1000X642,W1000X642,642,81900,1050,1050,,,,411,413,,,,34,33.3,17.5,59.9,60.3,,,,89.9,92.1,47.6,,,,,,3.44,,,25.5,,,14500,32100,27700,422,703,5370,3410,92.7,,,,73700,171000,,102000,629,,,5590,15900,,,,,,,,,,,,,,,,,112,988,3230,,3630,2510,2920,864,191,76.2
W,W1000X591,W1000X591,591,75500,1040,1040,,,,409,410,,,,31,31.8,15.9,55.9,55.6,,,,85.9,88.9,46,,,,,,3.66,,,28,,,13300,29500,25600,422,641,4920,3130,92.5,,,,59100,155000,,101000,574,,,5210,14600,,,,,,,,,,,,,,,,,111,986,3200,,3610,2490,2900,864,191,76.2
W,W1000X554,W1000X554,554,71000,1030,1030,,,,409,410,,,,29.5,30.2,15.9,52.1,52.4,,,,82,84.1,46,,,,,,3.93,,,29.5,,,12300,27500,23900,419,591,4540,2900,91.4,,,,48300,142000,,100000,533,,,4830,13600,,,,,,,,,,,,,,,,,110,980,3180,,3580,2470,2870,864,191,76.2
